theta_rad,theta_over_pi,theta_deg,initial_t_count,final_t_count,reduction,initial_gates,final_gates,distance_initial,distance_optimized
0.0000000000,0.0000000000,0.000000,42,2,0,140,2,1.847759065023e+00,1.847759065023e+00
0.3306939635,0.1052631579,18.947368,44,0,0,142,2,1.414213562373e+00,1.414213562373e+00
0.6613879271,0.2105263158,37.894737,48,0,0,146,1,2.000000000000e+00,2.000000000000e+00
0.9920818906,0.3157894737,56.842105,46,2,0,146,2,1.847759065023e+00,1.847759065023e+00
1.3227758541,0.4210526316,75.789474,46,2,0,146,2,1.993020732697e+00,1.993020732697e+00
1.6534698177,0.5263157895,94.736842,48,0,0,146,2,1.923300726131e+00,1.923300726131e+00
1.9841637812,0.6315789474,113.684211,44,0,0,146,1,2.000000000000e+00,2.000000000000e+00
2.3148577448,0.7368421053,132.631579,42,2,0,146,2,1.929288332409e+00,1.929288332409e+00
2.6455517083,0.8421052632,151.578947,42,2,0,146,2,1.847759065023e+00,1.847759065023e+00
2.9762456718,0.9473684211,170.526316,48,0,0,146,1,2.000000000000e+00,2.000000000000e+00
3.3069396354,1.0526315789,189.473684,46,2,0,146,2,1.847759065023e+00,1.847759065023e+00
3.6376335989,1.1578947368,208.421053,46,2,0,146,2,1.847759065023e+00,1.847759065023e+00
3.9683275624,1.2631578947,227.368421,48,0,0,146,2,1.924489418083e+00,1.924489418083e+00
4.2990215260,1.3684210526,246.315789,44,0,0,146,1,2.000000000000e+00,2.000000000000e+00
4.6297154895,1.4736842105,265.263158,42,2,0,144,2,1.958225329325e+00,1.958225329325e+00
4.9604094530,1.5789473684,284.210526,42,2,0,144,2,1.991066924254e+00,1.991066924254e+00
5.2911034166,1.6842105263,303.157895,44,0,0,146,2,1.414213562373e+00,1.414213562373e+00
5.6217973801,1.7894736842,322.105263,46,2,0,146,2,1.847759065023e+00,1.847759065023e+00
5.9524913436,1.8947368421,341.052632,46,2,0,146,2,1.847759065023e+00,1.847759065023e+00
6.2831853072,2.0000000000,360.000000,48,0,0,146,2,1.414213562373e+00,1.414213562373e+00
