rank,t_budget,strategy,t_count,gates,distance,fidelity,infidelity
1,250,Extreme,0,0,9.619605658370687928e-01,0.61373263478712236640,3.862673652128776336e-01
2,150,Max-Precision,2,5,1.442689994368947737e+00,0.42361072047882919467,5.763892795211708053e-01
3,250,Max-Precision,2,5,1.537795469860421926e+00,0.25266559618405126653,7.473344038159487335e-01
4,100,Adaptive,2,5,1.831806980037965049e+00,0.27048655460603387990,7.295134453939661201e-01
5,150,Adaptive,2,5,1.831806980037965049e+00,0.27048655460603387990,7.295134453939661201e-01
6,200,Adaptive,2,5,1.831806980037965049e+00,0.27048655460603387990,7.295134453939661201e-01
7,250,Adaptive,2,5,1.831806980037965049e+00,0.27048655460603387990,7.295134453939661201e-01
8,300,Adaptive,2,5,1.831806980037965049e+00,0.27048655460603387990,7.295134453939661201e-01
9,150,Extreme,0,2,1.949855824363647017e+00,0.22644869113811233463,7.735513088618877209e-01
10,100,Extreme,0,3,1.949855824363647239e+00,0.22644869113811233463,7.735513088618877209e-01
11,300,Max-Precision,1,2,1.996347954780612444e+00,0.55042934447755365035,4.495706555224463497e-01
12,100,Max-Precision,0,5,1.997758747182281081e+00,0.28588456212346274876,7.141154378765373067e-01
13,200,Extreme,0,5,1.997758747182281081e+00,0.28588456212346274876,7.141154378765373067e-01
14,200,Max-Precision,0,4,2.000000000000000000e+00,0.31380665377860478271,6.861933462213951618e-01
15,300,Extreme,0,1,2.000000000000000000e+00,0.31380665377860472720,6.861933462213952728e-01
